name,reads_clade,recalculated_percent
Gardnerella swidsinskii,158315,72.67289736786537
Homo sapiens,35578,16.331720573248994
Gardnerella vaginalis,7056,3.238985338266482
Gardnerella leopoldii,5616,2.5779679222937304
Lactobacillus jensenii,4120,1.8912442734775943
Lactobacillus crispatus,3845,1.7650083086216868
Streptococcus mitis,476,0.2185029791687706
Gardnerella piotii,457,0.2097812215969079
Ureaplasma parvum,236,0.1083334098399787
Streptococcus pneumoniae,224,0.10282493137353911
Lactobacillus iners,185,0.08492237635761042
Streptococcus sp. SN-1,135,0.061970382747445436
Streptococcus oralis,120,0.05508478466439595
Streptococcus sp. 'group B',115,0.052789585303379453
Mageeibacillus indolicus,113,0.05187150555897286
Aerococcus christensenii,113,0.05187150555897286
Streptococcus parapneumoniae,78,0.035805110031857365
Lactobacillus gasseri,76,0.03488703028745077
Fannyhessea vaginae,71,0.03259183092643427
Streptococcus gwangjuense,71,0.03259183092643427
Amygdalobacter nucleatus,67,0.03075567143762107
Streptococcus toyakuensis,61,0.028001432204401273
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,46,0.02111583412135178
Streptococcus pseudopneumoniae,46,0.02111583412135178
Streptococcus anginosus,46,0.02111583412135178
Streptococcus sp. 116-D4,44,0.02019775437694518
Blautia obeum,43,0.019738714504741885
Coprococcus eutactus,38,0.017443515143725385
Streptococcus nidrosiense,32,0.014689275910505586
Amygdalobacter indicium,27,0.012394076549489087
Gemella haemolysans,25,0.011475996805082489
Spartinivicinus ruber,23,0.01055791706067589
Streptococcus sp. oral taxon 431,19,0.008721757571862693
Sneathia vaginalis,18,0.008262717699659392
Lactobacillus phage Lv-1,17,0.0078036778274560925
Limosilactobacillus portuensis,14,0.006426558210846194
Rothia mucilaginosa,13,0.005967518338642895
Advenella mimigardefordensis,13,0.005967518338642895
Enterococcus cecorum,12,0.005508478466439595
Streptococcus sp. Marseille-Q3533,12,0.005508478466439595
Lactobacillus mulieris,11,0.005049438594236295
Corynebacterium propinquum,9,0.004131358849829696
Streptococcus australis,7,0.003213279105423097
Streptococcus sanguinis,7,0.003213279105423097
Rothia aeria,7,0.003213279105423097
Neisseria subflava,7,0.003213279105423097
Streptococcus lactarius,6,0.0027542392332197975
Streptococcus sp. NPS 308,6,0.0027542392332197975
Haemophilus parainfluenzae,6,0.0027542392332197975
Cutibacterium acnes,5,0.002295199361016498
Streptococcus sp. oral taxon 061,5,0.002295199361016498
Streptococcus ilei,4,0.0018361594888131982
Lactobacillus amylovorus,4,0.0018361594888131982
Actinomyces naeslundii,4,0.0018361594888131982
Neisseria sicca,4,0.0018361594888131982
Streptococcus sp. FSL W7-1342,4,0.0018361594888131982
Lactobacillus johnsonii,4,0.0018361594888131982
Streptococcus salivarius,3,0.0013771196166098988
Streptococcus infantis,3,0.0013771196166098988
Enterococcus faecalis,3,0.0013771196166098988
Prevotella veroralis,3,0.0013771196166098988
Prevotella bivia,3,0.0013771196166098988
Lactobacillus paragasseri,3,0.0013771196166098988
Streptococcus cristatus,3,0.0013771196166098988
Schaalia odontolytica,3,0.0013771196166098988
Lactobacillus sp. PV034,3,0.0013771196166098988
Streptococcus sp. FSL W8-0197,3,0.0013771196166098988
Streptococcus sp. D7B5,3,0.0013771196166098988
Prevotella melaninogenica,2,0.0009180797444065991
Capnocytophaga endodontalis,2,0.0009180797444065991
Corynebacterium marquesiae,2,0.0009180797444065991
Corynebacterium tuberculostearicum,2,0.0009180797444065991
Corynebacterium pyruviciproducens,2,0.0009180797444065991
Prevotella denticola,2,0.0009180797444065991
Actinomyces sp. oral taxon 414,2,0.0009180797444065991
Limosilactobacillus vaginalis,2,0.0009180797444065991
Mycolicibacterium smegmatis,2,0.0009180797444065991
Prevotella nigrescens,2,0.0009180797444065991
Lactobacillus intestinalis,2,0.0009180797444065991
Bifidobacterium sp. ESL0690,2,0.0009180797444065991
