name,reads_clade,recalculated_percent
Lactobacillus crispatus,162131,83.23715743754556
Homo sapiens,32300,16.582641106467744
Lactobacillus helveticus,82,0.042098345843045046
Lactobacillus amylovorus,46,0.02361614522902527
Prevotella bivia,35,0.017968806152519227
Lactobacillus ultunensis,23,0.011808072614512635
Lactobacillus sp. ESL0680,10,0.005133944615005493
Corynebacterium sp. UMB2355A,9,0.004620550153504944
Lactobacillus acetotolerans,9,0.004620550153504944
Corynebacterium marquesiae,7,0.003593761230503845
Winkia neuii,7,0.003593761230503845
Lactobacillus gasseri,6,0.0030803667690032957
Corynebacterium kroppenstedtii,6,0.0030803667690032957
Corynebacterium pseudogenitalium,6,0.0030803667690032957
Lactobacillus sp. ESL0785,5,0.0025669723075027466
Corynebacterium sp. NML98-0116,5,0.0025669723075027466
Lactobacillus acidophilus,4,0.0020535778460021976
Lactobacillus johnsonii,4,0.0020535778460021976
Finegoldia magna,4,0.0020535778460021976
Cutibacterium avidum,4,0.0020535778460021976
Lactobacillus delbrueckii,4,0.0020535778460021976
Staphylococcus epidermidis,3,0.0015401833845016478
Cutibacterium acnes,3,0.0015401833845016478
Taurinivorans muris,3,0.0015401833845016478
Corynebacterium tuberculostearicum,2,0.0010267889230010988
Corynebacterium pseudokroppenstedtii,2,0.0010267889230010988
Romboutsia ilealis,2,0.0010267889230010988
Arachnia propionica,2,0.0010267889230010988
Lawsonella clevelandensis,2,0.0010267889230010988
Blautia obeum,2,0.0010267889230010988
Corynebacterium accolens,2,0.0010267889230010988
Rossellomorea marisflavi,2,0.0010267889230010988
Escherichia coli,2,0.0010267889230010988
Prevotella melaninogenica,2,0.0010267889230010988
Lactobacillus mulieris,2,0.0010267889230010988
Facklamia hominis,2,0.0010267889230010988
Actinomyces naeslundii,2,0.0010267889230010988
Schaalia odontolytica,1,0.0005133944615005494
Hoylesella buccalis,1,0.0005133944615005494
Bacteroides thetaiotaomicron,1,0.0005133944615005494
Bacteroides nordii,1,0.0005133944615005494
Bacteroides fragilis,1,0.0005133944615005494
Rothia mucilaginosa,1,0.0005133944615005494
Buchnera aphidicola,1,0.0005133944615005494
Pseudomonas sp. HR96,1,0.0005133944615005494
Geminocystis sp. NIES-3708,1,0.0005133944615005494
Delftia tsuruhatensis,1,0.0005133944615005494
Burkholderia thailandensis,1,0.0005133944615005494
Neisseria sicca,1,0.0005133944615005494
Neisseria subflava,1,0.0005133944615005494
Cloacibacillus porcorum,1,0.0005133944615005494
Gardnerella vaginalis,1,0.0005133944615005494
Curtobacterium flaccumfaciens,1,0.0005133944615005494
Veillonella parvula,1,0.0005133944615005494
Corynebacterium matruchotii,1,0.0005133944615005494
Granulicatella elegans,1,0.0005133944615005494
Lactobacillus isalae,1,0.0005133944615005494
Lactobacillus kefiranofaciens,1,0.0005133944615005494
Weissella sagaensis,1,0.0005133944615005494
Ligilactobacillus murinus,1,0.0005133944615005494
Lactiplantibacillus brownii,1,0.0005133944615005494
Companilactobacillus ginsenosidimutans,1,0.0005133944615005494
Aerococcus mictus,1,0.0005133944615005494
Enterococcus lactis,1,0.0005133944615005494
Enterococcus faecalis,1,0.0005133944615005494
Jeotgalibaca ciconiae,1,0.0005133944615005494
Corynebacterium singulare,1,0.0005133944615005494
Bacillus mycoides,1,0.0005133944615005494
Bacillus wiedmannii,1,0.0005133944615005494
Bacillus velezensis,1,0.0005133944615005494
Virgibacillus dokdonensis,1,0.0005133944615005494
Lysinibacillus parviboronicapiens,1,0.0005133944615005494
Staphylococcus warneri,1,0.0005133944615005494
Clostridium sp. C1,1,0.0005133944615005494
Clostridium cadaveris,1,0.0005133944615005494
Peptoniphilus genitalis,1,0.0005133944615005494
Faecalibaculum rodentium,1,0.0005133944615005494
