name,reads_clade,recalculated_percent
Fannyhessea vaginae,2345,18.77502001601281
Finegoldia magna,2187,17.510008006405123
Aerococcus christensenii,1303,10.432345876701362
Hoylesella buccalis,1120,8.967173738991193
Sneathia vaginalis,926,7.413931144915933
Peptoniphilus genitalis,600,4.803843074459568
Corynebacterium glaucum,508,4.0672538030424334
Dialister pneumosintes,283,2.265812650120096
Haemophilus influenzae,257,2.057646116893515
Peptoniphilus lacrimalis,229,1.8334667734187349
Prevotella bivia,226,1.809447558046437
Sneathia sanguinegens,177,1.4171337069655725
Anaerococcus mediterraneensis,155,1.2409927942353884
Jonquetella anthropi,124,0.9927942353883107
Segatella oris,119,0.9527622097678143
Megasphaera elsdenii,112,0.8967173738991193
Bifidobacterium sp. ESL0682,107,0.8566853482786229
Limosilactobacillus reuteri,99,0.7926341072858287
Varibaculum prostatecancerukia,91,0.7285828662930345
Bulleidia sp. zg-1006,79,0.632506004803843
Gryllotalpicola protaetiae,71,0.5684547638110489
Bifidobacterium animalis,71,0.5684547638110489
Corynebacterium pseudotuberculosis,70,0.5604483586869495
Bifidobacterium dentium,66,0.5284227381905524
Scrofimicrobium sp. R131,56,0.44835868694955966
Aedoeadaptatus ivorii,52,0.4163330664531626
Desulfobacca acetoxidans,50,0.4003202562049639
Peptostreptococcus equinus,46,0.36829463570856685
Parvimonas micra,46,0.36829463570856685
Bifidobacterium longum,45,0.3602882305844676
Corynebacterium yudongzhengii,35,0.28022417934347477
Actinotignum urinale,33,0.2642113690952762
Corynebacterium pyruviciproducens,30,0.24019215372297836
Filifactor alocis,26,0.2081665332265813
Campylobacter hominis,26,0.2081665332265813
Amylolactobacillus amylophilus,25,0.20016012810248196
Ruminococcus bovis,23,0.18414731785428343
Prevotella nigrescens,23,0.18414731785428343
Streptococcus pyogenes,21,0.16813450760608487
Bacillus thuringiensis,21,0.16813450760608487
Emticicia oligotrophica,21,0.16813450760608487
Porphyromonas asaccharolytica,19,0.1521216973578863
[Ruminococcus] torques,19,0.1521216973578863
Campylobacter ureolyticus,18,0.14411529223378705
